"No.","Time","Source","Destination","Protocol","Length","Info"
"161022","883.081032","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"161023","883.081221","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"161484","885.180081","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"161485","885.180450","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"161492","885.206306","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"161493","885.206639","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"162349","890.886383","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"162354","890.907609","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"162362","890.933225","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"162368","891.000291","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"267976","1466.550890","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"267985","1466.620894","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"267989","1466.621416","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"268002","1466.713406","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"268334","1468.733454","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"268339","1468.758567","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"268347","1468.780445","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"268353","1468.826437","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"889979","4717.288628","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"889984","4717.312335","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"889993","4717.337508","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"890000","4717.380516","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"890303","4719.004918","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"890308","4719.023606","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"890316","4719.046570","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"890322","4719.091622","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"902293","4783.207732","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"902298","4783.253985","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"902306","4783.277133","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"902314","4783.322138","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"904299","4793.919051","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"904305","4793.941567","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"904313","4794.009305","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"904320","4794.078344","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"905148","4799.274078","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"905154","4799.319072","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"905162","4799.342390","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"905169","4799.387399","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"906559","4805.957848","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"906560","4805.958193","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"906565","4806.001697","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"906571","4806.025435","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"907361","4810.747944","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"907366","4810.772947","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"907375","4810.793533","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"907381","4810.840499","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"908213","4816.241670","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"908214","4816.241994","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"908215","4816.244159","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"908217","4816.244516","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"926328","4919.260525","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"926329","4919.260873","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"926330","4919.264777","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"926331","4919.265094","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
